,Scar1,Scar2,cellCount1,cellCount2
43,244:75M,3427:46M8D29M,1,1
44,244:75M,46:46M2D29M,1,23
45,337:46M8D29M,3427:46M8D29M,22,1
46,3427:46M8D29M,46:46M2D29M,1,23
47,11:43M7D32M,34:51M3I21M,33,13
48,13:46M6D29M,34:51M3I21M,171,13
49,103:29S46M,1065:52M7I16M,5,5
50,103:29S46M,1092:53M22S,5,22
51,103:29S46M,11:43M7D32M,5,33
52,103:29S46M,13:46M6D29M,5,171
53,1065:52M7I16M,1092:53M22S,5,22
54,1065:52M7I16M,11:43M7D32M,5,33
55,1065:52M7I16M,13:46M6D29M,5,171
56,1092:53M22S,11:43M7D32M,22,33
57,1092:53M22S,13:46M6D29M,22,171
58,35:43M21D32M,62:75M,36,14
59,1065:52M7I16M,34:51M3I21M,5,13
60,1092:53M22S,34:51M3I21M,22,13
61,122:50M5I20M,28:44M9D31M,2,99
62,122:50M5I20M,361:50M7I18M,2,96
63,122:50M5I20M,6:47M3I25M,2,40
64,122:50M5I20M,779:34S41M,2,78
65,1466:44M31S,97:49M9D26M,53,14
66,44:44M3D31M,97:49M9D26M,86,14
67,1033:51M1I23M,2490:51M1I23M,105,1
68,1202:49M26S,2490:51M1I23M,82,1
69,13:46M6D29M,2490:51M1I23M,171,1
70,2490:51M1I23M,370:46M6I23M,1,45
71,13:46M6D29M,557:45M5D30M,171,57
72,1033:51M1I23M,1967:46M3D29M,105,1
73,1033:51M1I23M,2726:51M1I23M,105,1
74,1202:49M26S,1967:46M3D29M,82,1
75,1202:49M26S,2726:51M1I23M,82,1
76,13:46M6D29M,1967:46M3D29M,171,1
77,13:46M6D29M,2726:51M1I23M,171,1
78,1967:46M3D29M,2726:51M1I23M,1,1
79,1967:46M3D29M,624:43M1I4M3D27M,1,59
80,2726:51M1I23M,624:43M1I4M3D27M,1,59
81,1039:51M24S,3512:30M20D45M,38,1
82,23:30M20D45M,3512:30M20D45M,31,1
83,1041:51M24S,26:49M26S,42,39
84,1041:51M24S,28:44M9D31M,42,99
